trial,reward,bucket_dtheta,bucket_dx,bucket_theta,bucket_x,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
48,33.688,3,7,4,6,0.9842075490307842,0.9818999590986085,0.9483997646994303,0.47906359688907746,0.9592616205925946,0.04052069668644475,0.3843052021823319,0.9803037787666761,0.007216442631851321
49,17.28,2,8,3,5,0.9989756603348944,0.9661244122958556,0.9194781971062491,0.44201636026979213,0.993120116212415,0.08523899504750868,0.4148624246687335,0.992767417037392,0.025640715137420576
50,163.648,3,7,5,4,0.9753204694953483,0.9698290557390914,0.9348429921010221,0.24442050935598655,0.9460011591483972,0.05019684256822586,0.3090740046074866,0.9989804156678636,0.0016165673931139053
51,208.288,3,7,5,4,0.9755950775653777,0.9773730229655189,0.9379251027751924,0.23065913426395168,0.9364777996178213,0.056665516191699,0.311322226989097,0.9995493281718033,0.005627260272076803
52,206.096,3,7,5,4,0.9728912990341806,0.9869414257802259,0.9355697347634756,0.2398760940995385,0.9248741419833645,0.05683420865171902,0.28994628664844274,0.9987585735453941,0.004781968655524504
53,130.664,3,7,5,4,0.9720802731753253,0.9891295203818845,0.9361681407667334,0.26003505373644736,0.9205358789833404,0.059500385840135665,0.29774294630174897,0.9989900028745758,0.002085907588740843
54,16.312,3,7,6,4,0.97457157866704,0.9898219368140441,0.9343016899102861,0.23935213704573827,0.9189010692106081,0.05717772848451437,0.29774449931066505,0.9999487733181383,0.0010451278215704253
55,23.823999999999998,4,7,5,5,0.9722137708861809,0.9960262652459405,0.9239066650469249,0.2627323904906599,0.9277267272684583,0.06344754176886115,0.26711242073951624,0.9967933634623641,0.0059001655311375495
56,24.168,3,7,5,4,0.9631317495081467,0.9845207698775595,0.9394356443538513,0.19354575084703807,0.9225191043720259,0.07251957976202648,0.2276728453743534,0.9905939620029252,0.005767824660002017
57,14.112,3,7,6,4,0.9866879831852261,0.9773633361283903,0.9315064779704276,0.2377830009672349,0.9372649558053261,0.05636623540914164,0.3045507488832714,0.9960889459881483,0.013557817423986901
58,21.0,3,7,5,5,0.9907100974213682,0.9911576719158873,0.9465245178038884,0.21417981828553365,0.9304819406145695,0.05054143866911985,0.27714520896828576,0.9885053482195859,0.010083292211347284
