trial,reward,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
34,-146.6629371895989,2,5,5,6,6,3,6,4,0.956446333517626,0.9622592708927807,0.8953353622416133,0.31695550552353874,0.9278456997359525,0.0016777808491124646,0.42849222230026285,0.9098676900593707,0.02938876594176561
35,-53.55150260838305,3,5,4,5,5,4,6,3,0.9390326084625064,0.9388968588763054,0.8664107975502618,0.17589017155148223,0.9821349856362882,0.02298699270133795,0.2773327745425095,0.9381716294829939,0.05629633294949004
36,-140.27475257556034,2,4,4,4,4,3,2,6,0.9696893123970394,0.9218805993060883,0.8714957895132527,0.3857258652611652,0.9924029031216391,0.01226340512115565,0.22129915439389414,0.9150786231224223,0.08751124133946268
37,-134.7132111130836,5,2,3,4,3,4,5,3,0.9587569509649814,0.9141306766040235,0.8596222502106731,0.11626804591354897,0.9509817492626489,0.09830604014071517,0.1396011961196246,0.9513022396250385,0.0734072010394365
38,-65.72225728594114,3,2,4,5,4,2,6,4,0.9504546090218241,0.9921877568784792,0.9179904643158611,0.3291998258000639,0.9728372805108753,0.060854111959619775,0.3096870319980204,0.9242979356106884,0.020965253535162393
39,-144.90319052973646,2,6,6,6,4,5,4,2,0.9008681196701228,0.9467886182447688,0.9065748017959272,0.22239008485825476,0.9602873698125429,0.07672406093676484,0.08115739942304712,0.9653650437403958,0.04857590747908268
40,-199.43588037084237,5,4,5,4,5,2,6,3,0.9837050548299402,0.9311328134350151,0.8887811053940788,0.28021629893932426,0.9929010080749279,0.07109694996422702,0.18909723063282505,0.9315623417602251,0.09527442705471624
41,-49.170540323721546,2,4,3,5,4,4,6,6,0.9869888615531869,0.9310033395441076,0.8812276587856942,0.37169481389188896,0.9424451342418462,0.009738345148634192,0.3612127689726103,0.9047499967116602,0.045216327612112625
42,-66.22763114621837,2,5,2,5,4,4,6,6,0.978054749586653,0.9242223091798222,0.8963795065249941,0.4506644858222026,0.9452504268970389,0.015253474263372362,0.48995995635688355,0.9113256244339057,0.04225585188715565
43,-82.79389221933175,2,5,2,5,4,4,5,6,0.9986476508579842,0.9400550351206363,0.8840944189818919,0.3605534692445791,0.9377473486973213,0.02746553055764088,0.4155660308802663,0.9209374188345291,0.05270564757091761
44,-118.38179584943516,3,3,3,5,3,5,6,5,0.991515123898356,0.9183046133571281,0.8728304842181916,0.332381002511829,0.9262017553017474,0.009332462264895194,0.35069027092069205,0.9017717045864877,0.03590992865899836
45,-186.65764236168638,2,4,3,4,4,3,5,5,0.9736506280088684,0.9296266262233583,0.8905411711553409,0.14654996987988536,0.9635150271594344,0.022953878489312993,0.25711663311270183,0.9141480474211867,0.06441737175337725
46,-134.51167001731997,6,3,3,6,2,4,6,6,0.9628271391978827,0.900687237113065,0.864432591264779,0.3977736004378058,0.954017190818769,0.006142640872290167,0.4691586829010454,0.938242393510702,0.0483191986689967
47,-203.1414996343684,4,4,4,4,5,5,5,5,0.9073929309900617,0.9339557575148151,0.9085393773444559,0.2955131410425335,0.9324389008699964,0.03569328291809225,0.408827938343887,0.9057844252061544,0.03201270488589651
48,-68.9785938189085,3,3,4,5,4,3,6,6,0.9321297735281079,0.9100124002308586,0.8832778486120199,0.2536555540193007,0.9439011467757517,0.04201758101150493,0.2324451334731462,0.9242236968577346,0.05888065486219429
49,-48.168076732403385,2,2,5,5,3,4,3,4,0.9809843855890858,0.906849322825135,0.9175229274529035,0.42058077804048644,0.9209748918149144,0.030400003572239147,0.16039078020464143,0.9449159508053098,0.07399632897717541
50,-232.5152168623491,3,6,5,4,5,4,5,2,0.9212190660633954,0.9146647829621622,0.8579497107388951,0.20996294662705062,0.93969340638586,0.05169373095129995,0.3703247209433496,0.9558051227822836,0.013989882267642993
51,-50.649624526171394,2,2,5,5,3,4,3,4,0.9797263864065309,0.9057036297340022,0.9191948757085859,0.43790530360314683,0.9207623726862522,0.030563968606978645,0.16422796868431191,0.9461920771613415,0.07548034858754392
52,-45.60007439183654,2,2,5,5,2,4,3,4,0.9738600456062869,0.9242932003993104,0.9128739730747816,0.4247762368540891,0.9154591312151419,0.027140565102700537,0.19522369407870088,0.9441674037020031,0.08531888128548817
53,-56.407493393194216,2,2,6,5,2,4,3,5,0.9703476307757651,0.9235287446743982,0.903111438116497,0.4607433501620464,0.9095825670927268,0.013590690537987213,0.196386118301271,0.9360661980335385,0.08874920519131331
54,-64.44107454429972,2,2,5,6,6,3,3,3,0.9910851286127376,0.9269159074772599,0.9297118049581715,0.3913489161825605,0.9160239930492576,0.025522069357941917,0.26215777346585023,0.9402587048541923,0.08411415263228007
55,-118.5969555727244,3,3,5,3,2,5,2,4,0.9733154082155464,0.9375757365109171,0.9131947802987229,0.36017615277614207,0.9993291967181792,0.01850190827044331,0.22839381900460748,0.9478052385887098,0.09829906799006484
56,-27.68349679520635,4,2,6,5,4,6,4,5,0.9660100145460453,0.920006155529442,0.9108463666250491,0.417461860578217,0.9567489558166802,0.0204241191236208,0.12328588976013363,0.9289157095938729,0.08224180500689823
57,-63.61813976382831,4,2,6,5,4,6,4,5,0.9654978175046427,0.9202832882575991,0.9116249665363318,0.4329619869267163,0.9856919413673174,0.021203621173233236,0.05014716046703668,0.9287514401786591,0.07917835190657774
58,-104.36830241813837,4,2,6,6,3,6,4,3,0.9144889089179238,0.91176255629079,0.8990649733419736,0.23858745644360546,0.9682022261845806,0.038292644398608515,0.09499859809291836,0.9426324565515509,0.09045121690276284
59,-62.55211668029028,4,2,6,5,6,3,4,4,0.9366292454480968,0.9183802278469327,0.9352594296607735,0.49004632074345056,0.9596956692806675,0.025484718520737443,0.12179692849537856,0.9344312603243555,0.08298831595032836
60,-63.5067986879351,5,2,4,5,2,5,3,5,0.956362661084731,0.943345026360266,0.9221132070749507,0.4131108104354603,0.9565350420716499,0.03407691141917741,0.07543644694577442,0.9324219810361489,0.09469393812126949
61,-46.02566234055055,4,2,5,5,4,4,3,6,0.9746970692821648,0.932969620898047,0.9101164409557219,0.378318414710758,0.9632075528260984,0.012737429761240622,0.14559751495573445,0.9189617709639674,0.0775235810007866
62,-32.229055857075444,4,2,5,5,4,4,3,6,0.9662613769034889,0.9333079735323172,0.9060321321901116,0.4685109192195893,0.9654736669801661,0.01755526580028355,0.14263060852547446,0.9193986645807857,0.07689509199710834
63,-34.31768101699316,4,2,5,5,4,4,3,6,0.9648867061391069,0.9253764124687597,0.9049584667733311,0.46599939324145295,0.964436695181237,0.017268309288705347,0.13564087959687374,0.9211132276454183,0.08662044931028445
64,-32.420740253688805,4,2,5,5,4,4,3,6,0.9647262235987154,0.9335538528649785,0.9055105253360628,0.4813460027211459,0.9633514318618692,0.004122183370194123,0.1391383374498937,0.9187945748015061,0.08663673933059599
65,-25.714937878498176,4,2,5,5,4,4,3,6,0.9645963325025356,0.9256729103073834,0.9043793258696372,0.4710775682196235,0.9726248461705114,0.0072770604832080865,0.12486373615770577,0.9259776390120777,0.08701831368447817
66,-51.21532136388119,4,2,5,5,4,4,2,6,0.9652953393464071,0.9274806362517458,0.9069898451860025,0.4949425317404171,0.9764695289295577,0.005718151348665084,0.12095606711805279,0.9237406926641567,0.0906803731650286
67,-9.115670815166593,4,2,5,5,4,4,3,6,0.9599441752479868,0.9205828032632362,0.9038018813268445,0.469544009643422,0.9722796509203749,0.001774105541818726,0.10436915370994332,0.9162364656699695,0.08117763749037499
68,-117.47247713224388,4,2,5,6,4,4,3,6,0.9533649455711326,0.9162034532331634,0.9033983837884462,0.4685584585315117,0.9722602553067763,0.0033652408607352125,0.108017768797665,0.9159370482364263,0.08685847070380746
69,-49.569843829934925,4,2,6,5,4,4,3,6,0.9617503771645574,0.9207881692707415,0.8978737962495659,0.4790096649466104,0.9669565756535581,0.00740976903325391,0.12767113656274,0.9196951735220421,0.08027159781939855
70,-26.584572483255663,4,2,5,5,4,4,3,6,0.9583688094150856,0.9131542681819041,0.8943937864912735,0.45807114539169214,0.9806537324002859,0.002935951165836989,0.09102594761065542,0.9274533798385824,0.0969686342751916
71,-39.52612009857366,4,2,5,5,4,4,3,6,0.959433521417714,0.9119528015510197,0.9044711420610252,0.4599990592770073,0.9814681641120517,0.0012572679474328512,0.09278015388572652,0.9264094211058734,0.09978278792911474
72,-38.78412772079064,4,2,5,5,4,4,3,6,0.9592185823477649,0.9127885312781695,0.8945500854010006,0.4583170136345942,0.977720932489649,0.0014481068773769203,0.09467439675858319,0.9263533438549907,0.09678886327082811
73,-40.6837519597335,4,2,5,5,4,4,3,6,0.9534240220269589,0.9265281489454477,0.893351984379574,0.4979378695700118,0.9771464611106845,0.004297181535859911,0.06724821588953103,0.9141891771969362,0.09673716043305093
74,-43.80826816803324,4,2,5,5,4,4,3,6,0.9680061051750485,0.9134701710365336,0.9007915898032812,0.4815427077100671,0.9737506284069938,0.0010085138656172957,0.1094180793427004,0.907948229571281,0.09103367139287345
75,-55.80148725593568,4,2,6,5,4,4,2,6,0.963649429050925,0.9080350004203884,0.9096187770452858,0.4506707397183741,0.9713368897033219,0.01642505109661654,0.15212073809638044,0.9220068443811849,0.09224889780449116
76,-24.48401374622199,4,2,5,5,4,5,3,6,0.9587960803116614,0.9173966732425207,0.9154254076137169,0.46504860304884704,0.9648849709155831,0.007432944920075498,0.17578678952500718,0.9183849658451895,0.0704110864488584
77,-119.82002541997444,5,2,5,4,4,6,3,6,0.9473123247059737,0.9174497492321503,0.9145468250908836,0.468026692690499,0.9652375386059625,0.00780300014848407,0.13598950832789097,0.9175977900173384,0.07246524407524993
78,-56.46361497361691,4,2,6,5,4,5,3,6,0.9534872709988844,0.9216856336633146,0.9059454796137716,0.4360771462804663,0.969614180464929,0.011059873552853627,0.16899479122077904,0.9169126787498377,0.08150799758910977
79,-120.09449002829811,4,2,5,6,4,6,3,6,0.9708785298259458,0.9363843251123743,0.9170823554308225,0.49944158420108253,0.9622195359785595,0.00465839123044637,0.17809045983228527,0.9303012809060036,0.06557402062980512
80,-33.73451253291857,5,3,5,5,4,5,4,6,0.9665086074469413,0.9325183820668975,0.9011263001908509,0.4796630667665029,0.9681477686986418,0.015167261471128577,0.12904401082681344,0.9216349988710847,0.07024394362855302
81,-54.29843388992016,5,3,5,5,4,5,4,6,0.9671334538727645,0.9340017922320316,0.9000858528674403,0.4806416665216258,0.966576218523983,0.018357969980420205,0.1521388550543757,0.9134119741795449,0.07702123928462698
82,-45.420853714985824,4,2,5,5,4,5,4,6,0.9570684234350119,0.9429234491836092,0.8920869543424796,0.44586258974202453,0.9533875278035489,0.01482915775523977,0.12804611794453807,0.9241762123880289,0.07045770025895279
83,-24.277448796577648,4,2,5,5,4,5,3,6,0.9638472484985896,0.930808957613371,0.9026002027718808,0.4858540040101829,0.9580346365066429,0.008270675302972916,0.1135596769262016,0.9207522730168768,0.08523938954403683
84,-25.34797429134068,5,2,5,5,4,5,4,6,0.9612378030665732,0.9313806625646741,0.8966850642403104,0.48596103125855106,0.9574740267581461,0.009798084840086558,0.11323832341140352,0.918975347615344,0.08317840766505781
85,-28.54916819636626,4,2,5,5,4,6,3,6,0.9609877487534569,0.9291399082121486,0.8969680914312242,0.44823106109707783,0.9575689225324463,0.009043071102615385,0.11343794358524881,0.9091695822829274,0.08182832188478956
86,-9.194688582927524,6,2,5,5,4,6,3,6,0.9611078846880711,0.928917863100935,0.8887930555511628,0.4514500261869344,0.9572815967822549,0.008612713527587449,0.06865342137690046,0.9089980553285076,0.08269674767433918
87,-48.27078837308692,6,2,5,5,4,6,2,6,0.9612509513684164,0.9297474652665485,0.8878381786640224,0.4435261707464276,0.9483473926493156,0.00848458933940699,0.06164565005051867,0.9029104698680402,0.08308656287421552
88,-40.63243526150963,6,2,6,5,4,6,4,6,0.9555607779631596,0.9217393877361406,0.8964978183357875,0.4290804843905284,0.9570281616819486,0.012026583949470277,0.07666734045957649,0.9101133715524792,0.08100201361123957
89,-79.9085553052176,5,2,5,4,4,6,3,5,0.958907401191662,0.9488754693834457,0.8902118327811097,0.4048709313498004,0.9585153178224047,0.00676202873286358,0.1096276614741153,0.9067547083421073,0.08472293209335956
90,-12.115471034829003,4,2,5,5,5,6,4,5,0.9512053319123517,0.9188162761400654,0.896336031822275,0.454574625288557,0.9516289582794798,0.00940909214569964,0.08723911539498794,0.9124004636216332,0.09391337601845999
91,-135.60496601060674,4,2,5,2,5,6,4,5,0.9518118958771354,0.9188507267455504,0.8858077324821577,0.4559317733688961,0.9511674304083467,0.010815414281671949,0.08128424474676849,0.9133137795931148,0.09383415033093327
92,-15.560217320663345,4,2,5,5,4,6,4,6,0.9618896566317576,0.9165240455242524,0.8974039084039744,0.49013156101874367,0.955307333284685,0.008437368386808787,0.10251279881028995,0.9091567587525327,0.08824421526752066
93,-28.277325687785037,4,2,5,5,5,6,4,5,0.947618770271713,0.9232065634272784,0.8938932809664587,0.4898933539505535,0.9538076575344464,0.005758495699088827,0.08861903007090571,0.9042788149925828,0.08784959624740221
94,-14.609770779319721,4,2,5,5,4,6,4,6,0.9460003507283241,0.9170691503200517,0.9025019664646259,0.4879725149287534,0.9485720015255759,0.013010744203685478,0.10102091209184882,0.9002535560572732,0.08893778149104974
95,-27.04109336570959,5,2,5,5,4,6,4,6,0.9443940663299065,0.9164553119647606,0.8919859663565098,0.4894964132122224,0.945785393417644,0.0032387780317647483,0.06461534865874499,0.901838525110676,0.09263219075949045
96,-36.861411459220484,6,2,5,5,4,6,4,6,0.9499950161815089,0.9047559427210504,0.9023448598737779,0.47409479802645443,0.9489332112824608,0.013470114447694314,0.09927876081879163,0.9071420119128913,0.08924004980150063
97,-112.98214472070345,4,2,5,5,3,5,4,6,0.9467922981575212,0.9031213108340481,0.8978054608146127,0.4869799954215027,0.952997486783458,0.00901237402776134,0.10225470033814513,0.9159231504608021,0.09790705551796099
98,-53.21573193865176,4,2,5,5,5,6,4,6,0.9401075377034218,0.9090937885204244,0.889554388850475,0.471268600848796,0.9614248150772982,0.010718365921195126,0.06012677873531083,0.9115844701659339,0.09494064158434602
99,-95.43372657144775,4,2,5,6,4,5,4,6,0.9573825280452805,0.9145664269449499,0.9473563392075699,0.457032249321274,0.982847449263686,0.006734996548533201,0.07401749284939473,0.9805912806469936,0.08499022525162121
100,-34.09662256271646,4,2,5,5,4,6,3,6,0.954757802346521,0.9733058949537277,0.8797332675951561,0.44192046988690303,0.9504224010031049,0.013478190117319114,0.08577322172008187,0.9038432460191923,0.09210879237191848
101,-39.867900086000894,5,2,5,5,4,6,4,6,0.9441220227870494,0.9169949768444936,0.892940168613974,0.48901570532538535,0.9460255391533562,0.002852628645013797,0.06783378158600248,0.9080863689353186,0.09328161710294378
102,-38.993154741624835,6,2,5,5,4,6,4,6,0.9453352580370503,0.9164047980347142,0.885249138974569,0.49772482866797474,0.9462197776165161,0.0036951729951157073,0.11432454849755921,0.9021237450038196,0.08844131738811783
103,-31.48859646436233,5,2,5,5,4,6,4,6,0.9517331417664868,0.9253447501535814,0.894542599054395,0.059719677132155424,0.954909727152778,0.005528206077689949,0.10255571260698573,0.911839580276536,0.0959012270162509
104,-54.172982321829224,4,2,5,5,4,6,4,6,0.9627498922962093,0.9192568316764858,0.8990836673994655,0.46240121632367415,0.9891262334099924,0.008016267043498487,0.05002961344282365,0.9013342386993043,0.09057131523953418
105,-29.723589831679597,4,2,5,5,4,6,3,6,0.9409909484237836,0.9150922389283225,0.9081178986015114,0.4755803474690377,0.9520033082594667,0.0025281241480822596,0.08515061200763352,0.904883948249723,0.09349480154270455
106,-20.611168676330493,4,2,5,5,4,6,4,6,0.9581405130272906,0.9226603570780003,0.8917646716695122,0.48866654955483124,0.947364124932542,0.009960644898600213,0.0683152823085497,0.9126113971023729,0.08614725645663225
107,-18.079045663137386,4,2,5,5,4,5,3,6,0.9597989863638873,0.9281922564407628,0.8956413689542887,0.45337149313641617,0.9601677497049588,0.010526040598317254,0.07237746482897758,0.9122895775294095,0.07862881419362927
108,-24.936837703372326,4,3,5,5,4,5,4,6,0.9721769000175399,0.9283391259996241,0.887259546274825,0.47321040213647086,0.9594673287462762,0.010865479771025505,0.07721621010356773,0.915064152304912,0.07925398115894526
109,-260.0570385280868,4,3,5,4,3,5,4,6,0.9607540330981023,0.9283415005254838,0.8813256436673038,0.4381973377667239,0.959493794013356,0.012267868925831756,0.07625167389339532,0.9125552105805365,0.07899946713481157
110,-51.381836036760106,4,3,5,5,4,5,4,6,0.9701063646034441,0.9310279029085736,0.8876802304195108,0.42630133136558696,0.9549949773435008,0.021263965270962155,0.05462129964421228,0.9003670514311742,0.07789360307773552
111,-15.517823720392482,4,2,5,5,4,5,4,6,0.9631249445094627,0.9231826854286218,0.8905746740318825,0.4869042778170278,0.9599902285582858,0.0102580771965067,0.07144542264680455,0.9150321258813401,0.08460376492326493
112,-40.18695288330094,4,2,5,5,4,5,4,6,0.9554685335153976,0.9220716605285862,0.8902557085440211,0.4867543970845545,0.9615995643036264,0.009797167782969067,0.07093407690684285,0.9155766282571213,0.08343534392813937
113,-31.80460057671214,4,2,5,5,4,5,4,6,0.9628693646401209,0.9236359276463089,0.8968624558894108,0.49845955421186594,0.9586895208173485,0.01147117061573172,0.10170978837426793,0.9096327931079898,0.0736057743142475
114,-52.8300110278801,4,2,5,5,4,5,4,6,0.968931618637989,0.9276056994371387,0.8919074855409915,0.4521776881041208,0.9487289691766285,0.015275532409474553,0.059968851387448494,0.9144828378150791,0.07502008270489177
115,-32.03604478730537,4,2,5,5,4,5,4,6,0.9724717474497118,0.9374153573475584,0.8877478807071065,0.47511205600747675,0.9554296060018921,0.013905493093304702,0.08847011466758947,0.9172287432145622,0.08527583693736562
116,-17.1954939165339,4,2,5,5,4,5,4,6,0.9605644222270258,0.9196309460637628,0.8843988686909305,0.4681608945314963,0.9523709915751066,0.010128521846399511,0.11531688235041393,0.9061836120987803,0.07958678051593217
117,-64.77113238793537,4,3,5,5,4,5,4,6,0.9537997662895223,0.9199693737785511,0.882293618850945,0.4684180245994452,0.9440535447322606,0.019634806087847054,0.07793423789690465,0.9064149210114409,0.07923188692256679
118,-49.6008132903141,4,2,4,5,4,5,4,6,0.9593110850123215,0.9246942420424872,0.8846976423671766,0.4604427157289839,0.9498120341001459,0.005339426515034526,0.09719309680030552,0.9091646521232252,0.08051188404118771
119,-84.48947453169873,4,2,5,5,5,5,4,6,0.9515591037917102,0.9182297166288644,0.8772872279815938,0.43481587942996336,0.9398365059516506,0.016344143579708016,0.06690711911752904,0.9108950131422056,0.07192445819818039
120,-115.69134165626333,4,2,5,4,4,6,4,6,0.9573051262469232,0.9226857660658286,0.8896310725924973,0.450352090980604,0.9599466275253974,0.008051633536249606,0.08394301187405963,0.9128601405029629,0.08888948062169957
121,-33.402338222890634,4,2,5,5,4,5,4,6,0.9607938365774648,0.9311067063492892,0.8957025942163491,0.48509986063588545,0.9567130994888347,0.010080061634763474,0.1119683471156213,0.9197336285403271,0.07619982626843999
122,-32.422041549938136,4,2,5,5,4,5,4,6,0.9637662466669145,0.9275452275155627,0.899318455615253,0.4786631737418635,0.9519626883884472,0.011444132942974718,0.11691719446797873,0.9080170736701322,0.08392907703160007
123,-31.947804305272605,4,2,5,5,4,5,4,6,0.9761191626194798,0.9204154934580595,0.9016794686018975,0.4916440290142114,0.9613656265870929,0.009476576682214247,0.09385889164477147,0.9173348091307846,0.08567090829439741
124,-50.94535345358179,4,2,5,5,4,5,4,6,0.9680296668025636,0.9867131953722619,0.8913976321125915,0.4654637340103318,0.9638181664644152,0.0064253246195174075,0.05799085177231982,0.9054511821722184,0.08232344656957566
125,-46.871046030492934,4,2,5,5,4,5,3,6,0.9625041879182584,0.9256489557472719,0.8866026473159875,0.4768017021905818,0.9472566742278211,0.01301698944008713,0.10480407853471807,0.9148921166313486,0.07822486146671544
126,-25.907739519992493,4,2,5,5,4,6,4,6,0.9600895766069837,0.9224791772625657,0.8955949844151844,0.465134534544843,0.9529736776989417,0.014976551615841799,0.07218098303090018,0.9119164919534204,0.08698545691050212
